No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
129,김준서,남성,171.8,62.1,B형,19880721,010-1394-8277,uj73rh2mnti41,daum.net,불교,신한은행,605-093-730341,6
133,박준훈,여성,153.2,51.4,A형,19660505,010-9597-4969,l9tsvdj,gmail.com,기독교,스탠다드(제일),294-67-511062,4
146,구준택,여성,154.1,64.2,B형,19890905,010-2140-4995,f7kn6us8,gmail.com,무교,국민은행,017724-19-552968,4
147,황진은,여성,150.4,51.3,A형,19880422,010-4076-7703,bm7mhs3kz,yahoo.com,무교,새마을금고,6-23063212897-6,3
149,문희준,남성,179.5,67.0,B형,19540513,010-6782-0644,occp0150lt8,naver.com,불교,새마을금고,5-31916421575-2,9
154,김덕상,여성,156.7,58.5,A형,19711230,010-4358-8638,lyi3467ikvk,yahoo.com,무교,NH농협,006-9257-823-89,9
164,정현용,남성,162.8,64.3,O형,19691003,010-9672-4639,x56gj1,gmail.com,불교,외환은행,712-502534-521,9
165,주희남,남성,171.9,66.3,AB형,19710407,010-6871-1316,y7et0gnov,naver.com,불교,NH농협,385-3131-058-81,8
166,홍정훈,남성,175.9,64.2,A형,19710717,010-5658-7661,uu7m0ux0,gmail.com,무교,하나은행,574-341962-77408,8
167,이상서,여성,159.2,54.3,A형,19741206,010-0550-1816,j08tq2lvu4brc,yahoo.com,불교,새마을금고,2-45498490193-0,5
171,함준협,여성,166.1,51.9,O형,19660510,010-9138-8661,m4ndtsuqldg,daum.net,무교,NH농협,088-1730-788-65,5
172,김준용,남성,167.0,64.2,O형,19641109,010-8264-5894,p9p8liqb,gmail.com,무교,NH농협,485-1212-227-88,6
178,임은석,여성,154.5,58.4,O형,19851116,010-8950-1440,vzytf5,gmail.com,무교,우리은행,9321-763-497078,6
182,천훈지,남성,176.1,67.9,AB형,19931019,010-8820-8365,ddtnk5fhse,gmail.com,불교,우리은행,4160-301-470739,9
184,한훈은,남성,172.7,68.7,A형,19560506,010-9482-3357,elygtbbj,yahoo.com,기독교,수협중앙회,6439-6600-1928,6
188,김용종,남성,164.4,69.7,O형,19910412,010-0321-3503,cvbq3jf,daum.net,기독교,수협중앙회,0093-7998-4373,8
189,이훈덕,남성,176.9,64.3,B형,19530131,010-7442-3396,rjb361fwdx1,daum.net,기독교,스탠다드(제일),720-27-851039,3
191,황용현,여성,162.7,55.4,B형,19670718,010-5556-4684,cn3gil1,yahoo.com,무교,NH농협,112-2440-995-08,2
199,장희준,남성,166.9,61.8,O형,19870704,010-3728-5963,hjpqg4vw4d,daum.net,무교,하나은행,613-793967-11361,4
202,신덕준,여성,164.3,59.2,B형,19811116,010-5209-1933,nuy8lea3q2,yahoo.com,무교,기업은행,159-080207-67-433,1
209,김훈지,여성,158.0,51.2,AB형,19840124,010-8665-6994,xrx6gtb,naver.com,무교,우리은행,8462-798-659784,7
214,전정남,여성,164.4,51.6,B형,19630624,010-8707-4857,wuump7we8oc,naver.com,불교,새마을금고,5-04817559900-0,3
216,유성은,남성,165.3,61.6,O형,19850703,010-0599-0646,my3ix9d1x1nu,gmail.com,불교,외환은행,112-528247-258,5
218,문희영,남성,179.2,65.7,B형,19520321,010-9880-9932,v6a0thefdp,naver.com,불교,새마을금고,2-06834344942-8,1
223,황택훈,남성,167.8,69.1,AB형,19910412,010-2061-2745,sg2hechr8gfcb,yahoo.com,무교,새마을금고,9-81094765939-8,6
224,이훈상,남성,170.7,69.2,A형,19520229,010-8369-7141,y6rwxl,yahoo.com,무교,NH농협,645-7598-944-38,1
225,전협지,여성,164.6,57.2,B형,19660717,010-1830-6931,kfzgycddqxwz,yahoo.com,무교,기업은행,479-871473-98-319,3
229,정진지,남성,173.9,60.4,A형,19700512,010-4482-4211,rkoskcg,daum.net,기독교,외환은행,124-411267-626,9
234,신훈진,남성,162.4,66.3,O형,19960611,010-3734-5215,ah7b59,yahoo.com,무교,신한은행,099-711-487234,6
238,정진준,여성,157.4,52.3,O형,19620316,010-7620-2215,ms2ty1scay,gmail.com,천주교,NH농협,241-3501-972-57,2
240,박용정,여성,156.6,52.6,O형,19880121,010-0060-7256,h9etlg3,naver.com,불교,한국씨티은행,624-780881-152,9
242,유훈영,여성,161.0,59.0,O형,19570319,010-4164-4764,aii4xy6tgx,gmail.com,기독교,국민은행,467208-29-960415,9
244,김우종,남성,166.2,65.8,A형,19750714,010-2973-0140,r9vwny,gmail.com,무교,수협중앙회,6567-0856-6101,9
245,강성준,여성,159.7,62.1,B형,19480322,010-8244-0663,q1zy3f5,yahoo.com,무교,한국씨티은행,374-507682-874,2
246,성상종,남성,170.7,66.5,A형,19850920,010-0694-0812,ag1sjvksv,gmail.com,기독교,스탠다드(제일),738-41-024492,1
248,최영훈,남성,168.1,62.5,A형,19570104,010-9550-2939,x2kkfuym3,gmail.com,기독교,한국씨티은행,513-056057-580,9
249,황우훈,여성,157.4,50.1,B형,19560205,010-4469-5415,ik8jhfjdv0j,daum.net,무교,신한은행,094-715-832903,8
268,오지진,남성,162.9,65.0,O형,19750906,010-2996-5210,s1k7xjt,gmail.com,무교,한국씨티은행,044-908385-521,5
270,이희지,남성,169.8,74.8,AB형,19890107,010-7258-7100,pqtp6z,naver.com,무교,스탠다드(제일),672-26-720015,8
273,이용종,남성,172.6,64.4,A형,19610729,010-1083-9900,ung528,naver.com,불교,신한은행,647-537-815268,7
277,김준남,여성,145.1,58.0,B형,19690106,010-3609-4027,k7av72a47me40,gmail.com,천주교,하나은행,742-407634-90858,5
285,이준덕,여성,152.5,58.7,O형,19480804,010-6071-3744,ulw8vne6mt19p,gmail.com,불교,새마을금고,1-48920713129-4,9
286,공희종,여성,150.8,50.8,O형,19900519,010-1550-4149,b46kli,gmail.com,무교,NH농협,528-0651-928-65,9
287,임남서,남성,159.5,64.0,AB형,19861208,010-9432-5047,xw21jvppc,gmail.com,불교,NH농협,830-8363-635-70,9
294,양우준,남성,164.1,64.1,AB형,19691025,010-4510-0099,lqfgfjaa,daum.net,무교,신한은행,840-004-558201,5
304,김준우,여성,160.9,58.4,B형,19890807,010-1176-2455,lyizrexajxzu7,yahoo.com,기독교,우리은행,3693-886-263508,8
306,나지협,남성,166.2,68.8,A형,19910520,010-1364-1810,kyx4d73uxgi93,naver.com,기독교,한국씨티은행,630-592396-397,9
312,최준덕,남성,162.5,66.8,A형,19480104,010-0549-1080,h3ykd6p,daum.net,불교,국민은행,056506-41-854886,2
317,김남상,여성,151.8,53.7,AB형,19541213,010-0084-6498,m5bk3b1sglb,naver.com,무교,새마을금고,5-86501912887-6,6
318,손준상,남성,171.1,68.0,O형,19550630,010-2068-1236,zsd9a9d6s0y,naver.com,불교,외환은행,463-343427-718,8
321,이석용,남성,166.0,59.8,AB형,19750706,010-8584-1806,kcct1nwm,daum.net,불교,기업은행,465-102122-32-397,9
328,최서용,남성,178.5,69.0,A형,19840328,010-6760-6431,d6lmv9xhlmv,yahoo.com,무교,하나은행,283-543895-74774,9
330,김덕정,여성,159.0,53.0,B형,19790608,010-1948-7850,z0zn0u9j8wng3,daum.net,불교,하나은행,399-008531-04000,8
339,김훈준,남성,166.7,67.8,B형,19680427,010-6435-0262,akvbq2cy5,yahoo.com,기독교,스탠다드(제일),536-79-304023,1
342,김협덕,남성,164.6,66.2,B형,19860322,010-1612-0575,j03tfmwpmu,gmail.com,기독교,기업은행,139-542538-39-194,1
349,서지종,남성,174.1,63.0,O형,19680128,010-0369-1215,ctysx5u,yahoo.com,무교,한국씨티은행,340-125472-021,1
350,박석준,여성,148.0,48.8,B형,19750315,010-8389-9526,xumtl9,yahoo.com,천주교,수협중앙회,6963-9386-9264,8
363,홍정덕,여성,159.6,54.8,AB형,19771023,010-3358-5920,st1ll41yfrbi4,daum.net,기독교,한국씨티은행,759-469223-027,4
369,김준용,여성,161.3,48.9,AB형,19681229,010-4472-6069,q3n6hxvtp8,naver.com,무교,NH농협,057-5837-341-15,5
376,소우지,여성,152.9,58.9,B형,19550911,010-5275-9006,r8uw3y76x,daum.net,천주교,한국씨티은행,446-753066-992,7
377,이지상,남성,167.7,65.6,B형,19540223,010-0342-9206,khmxl8,daum.net,기독교,NH농협,985-4525-836-37,7
387,이용진,여성,159.2,59.8,A형,19480226,010-7638-4197,bn3dczltcky8z,naver.com,무교,기업은행,376-333682-12-656,6
392,송택진,남성,169.3,68.5,AB형,19840106,010-4739-4276,tfyx3oe9d014i,yahoo.com,무교,한국씨티은행,924-997615-527,7
393,김남용,여성,152.6,53.9,A형,19570629,010-1245-0484,zvraew8af,gmail.com,무교,기업은행,494-427144-49-779,8
399,윤남은,남성,164.7,71.1,O형,19800514,010-0621-9745,tzes8jl,yahoo.com,기독교,NH농협,892-6246-856-05,2
400,김현영,남성,168.4,59.8,A형,19620211,010-4020-6780,xw68jlqsos4yj,yahoo.com,무교,신한은행,567-415-478078,2
411,김덕진,여성,158.7,58.3,O형,19920503,010-4347-0026,ce3jwm3,yahoo.com,무교,NH농협,001-4335-123-89,1
427,박지용,남성,167.2,68.1,B형,19611112,010-0450-1154,iy8m8smj8bo,naver.com,불교,NH농협,424-0211-533-11,1
435,김석정,남성,164.3,65.8,O형,19560322,010-6625-9878,cjiwl5apbb,yahoo.com,무교,국민은행,483453-06-888166,9
436,강지협,남성,155.0,66.9,B형,19590603,010-4426-8223,uofutf7uilb,naver.com,무교,기업은행,801-108894-68-959,4
438,최진서,남성,167.2,67.9,B형,19750222,010-4270-7736,zcp5swz,daum.net,무교,새마을금고,0-75200403626-3,6
440,박상덕,남성,168.0,68.7,A형,19830301,010-2991-0314,fxm2pptro0xq8,gmail.com,불교,신한은행,880-337-215002,6
441,임종은,여성,152.7,57.0,O형,19641017,010-1434-6149,uax366edle,gmail.com,천주교,한국씨티은행,979-814921-153,6
442,신택남,여성,155.9,58.1,A형,19491002,010-1834-1128,rsbzho,naver.com,불교,외환은행,693-929573-845,9
444,윤종영,여성,146.8,51.7,B형,19961210,010-8147-0408,cqb242,daum.net,불교,스탠다드(제일),684-71-103672,4
451,강정지,남성,175.9,65.0,A형,19471118,010-1193-9152,e4h45k,yahoo.com,기독교,외환은행,484-223813-753,4
453,복희협,여성,154.9,54.8,AB형,19731021,010-1212-5139,h8kfulowcc,naver.com,무교,하나은행,304-039936-83660,1
455,김택성,남성,165.6,62.8,A형,19890918,010-8439-4544,p0cxest7zw8,naver.com,무교,신한은행,367-411-977854,8
470,김정훈,여성,142.9,56.6,O형,19691220,010-9346-0542,nvwhbsaywe,gmail.com,천주교,한국씨티은행,920-933966-252,5
474,김희지,여성,159.6,53.8,O형,19630709,010-7398-5739,ktjqsrc,yahoo.com,무교,신한은행,176-979-927510,5
477,이덕정,여성,150.3,54.0,B형,19800618,010-0839-5047,x8jdhimbnemh,yahoo.com,무교,기업은행,666-881638-04-081,7
481,박지준,남성,168.5,64.5,B형,19700125,010-9787-3851,u13966qk3y1y,naver.com,천주교,신한은행,550-780-843294,9
489,박희지,남성,165.6,64.8,B형,19630911,010-6673-4874,q9laxdnl0huu,gmail.com,무교,새마을금고,5-01612379232-5,9
494,이상서,여성,159.0,49.1,A형,19841101,010-0665-2058,nwdmxy59z7,gmail.com,불교,한국씨티은행,721-090591-103,3
499,최훈상,여성,158.3,59.9,B형,19850507,010-6455-7906,t4so2ilcn,gmail.com,무교,국민은행,549612-87-496301,7
500,강은용,남성,176.4,62.7,A형,19521223,010-8491-6968,gmf1woil19,daum.net,무교,한국씨티은행,375-763843-448,8
503,채현지,여성,157.3,58.5,A형,19880406,010-7203-5141,m8jze9,gmail.com,기독교,한국씨티은행,219-920148-615,5
504,박택준,여성,168.3,55.7,B형,19930518,010-8671-8559,pyekuddec9zh,gmail.com,불교,새마을금고,8-67930575139-8,7
506,서준서,여성,158.3,60.1,O형,19860911,010-0240-4408,zvm38z9eo,gmail.com,불교,신한은행,863-111-499069,9
509,김서지,남성,174.1,67.3,A형,19680127,010-1610-4205,exrwesuh0p5,gmail.com,불교,외환은행,948-438933-033,5
510,배훈영,남성,175.8,66.0,B형,19530508,010-5721-1426,b0yjpo,gmail.com,불교,새마을금고,3-45846123329-1,6
511,도협훈,남성,173.1,67.1,A형,19500604,010-2254-1829,h5dojgw5,daum.net,무교,한국씨티은행,424-077209-881,8
517,윤협현,남성,168.1,64.7,A형,19961226,010-2152-7088,nke4e0,daum.net,기독교,새마을금고,7-62620562028-7,2
519,전협준,여성,154.1,50.3,O형,19630510,010-7737-7308,gnzxlevyw4,naver.com,기독교,외환은행,751-320082-982,2
525,배서성,남성,170.0,70.3,B형,19530402,010-3977-5336,ty2kxq3lx,naver.com,무교,하나은행,915-006829-19617,4
531,전훈종,여성,153.0,50.9,B형,19931218,010-8497-2719,ta5hcexew313o,naver.com,불교,하나은행,984-643777-20539,4
536,윤서석,남성,173.6,68.4,O형,19761018,010-5536-8960,ofhi1tnfej,daum.net,무교,하나은행,979-211788-91908,9
539,지훈종,남성,166.4,64.1,O형,19710609,010-2154-2001,upl1kvrx,gmail.com,무교,국민은행,497088-77-033685,7
540,이훈은,남성,163.1,66.5,O형,19550310,010-8737-4835,wwvpoqszixg3m,yahoo.com,천주교,한국씨티은행,865-487195-209,5
548,김택지,남성,168.3,66.6,AB형,19560731,010-9094-6203,x3s0tskmwu1,naver.com,천주교,한국씨티은행,074-467923-101,9
557,이훈성,여성,157.9,55.8,O형,19860702,010-1979-0453,z0t93tns,naver.com,불교,신한은행,344-461-222856,4
558,이훈남,여성,159.1,51.4,B형,19620619,010-6773-1469,ln9rocp3,yahoo.com,무교,새마을금고,5-25422218250-9,9
561,강정준,여성,158.3,55.9,B형,19870517,010-3585-5698,ye96w32e4w,yahoo.com,무교,우리은행,5497-567-642858,4
563,손훈용,여성,160.4,59.5,A형,19550110,010-5591-2474,n3rkysv7,naver.com,불교,NH농협,756-8779-901-08,9
564,백영지,남성,168.7,63.3,A형,19491020,010-4271-2235,g9s9q9y23ri,naver.com,천주교,우리은행,0769-307-251488,6
567,오석성,남성,170.1,62.7,B형,19681127,010-2725-1031,wet1urpz,naver.com,무교,하나은행,681-064570-28177,9
568,김훈서,여성,152.0,58.3,B형,19480927,010-6451-1665,umck92tqhwa5,gmail.com,무교,NH농협,671-1052-696-14,3
578,이영덕,남성,169.9,59.3,B형,19570902,010-9837-0250,lwytouwtg4c,naver.com,불교,수협중앙회,8372-0963-1220,4
581,마우용,여성,157.0,60.7,AB형,19770205,010-0180-9282,hgwac822sv0,gmail.com,기독교,하나은행,531-884257-56272,2
584,류정남,남성,167.5,68.4,AB형,19791113,010-9142-6040,zwylxyf6m5cgb,daum.net,불교,우리은행,2275-168-637053,7
586,민훈은,여성,149.8,56.3,B형,19520908,010-3243-5723,fli9azhup,yahoo.com,무교,우리은행,9648-391-216436,6
588,길지택,여성,163.8,56.0,B형,19660427,010-3058-0280,toobgi5cmc5,naver.com,무교,외환은행,153-337173-587,3
590,안정종,여성,160.3,49.1,B형,19700101,010-2170-8220,lv3esrg,daum.net,무교,스탠다드(제일),502-43-568514,6
596,서훈우,남성,162.3,59.2,B형,19591029,010-3727-9185,etnwek1r,gmail.com,무교,한국씨티은행,672-051608-650,3
601,정훈준,남성,179.4,69.8,B형,19930830,010-6891-5759,ezunvg3ecrnk,daum.net,기독교,NH농협,485-2849-801-63,5
602,유용남,남성,165.2,66.4,A형,19560225,010-4671-5976,mykkii,yahoo.com,기독교,하나은행,792-326744-24522,3
604,이덕지,여성,154.0,52.9,A형,19631124,010-7024-1734,zf23qb4,naver.com,무교,NH농협,637-5416-100-60,6
606,김성희,여성,154.8,55.5,B형,19940724,010-0048-0932,onv3tk1,naver.com,무교,스탠다드(제일),895-70-610076,8
608,김상우,남성,175.4,67.6,AB형,19870816,010-4091-5744,x8vrtuze,daum.net,기독교,국민은행,679104-25-796909,3
610,연용협,여성,156.1,51.4,A형,19610430,010-6101-4703,cjaalem10ag2,gmail.com,불교,NH농협,517-5740-635-16,9
613,이훈석,여성,161.6,51.9,AB형,19810208,010-9113-0514,shzd58mn,gmail.com,기독교,새마을금고,7-87280009971-5,7
615,이현정,남성,169.5,61.7,B형,19720617,010-2018-5184,s40zj8nb,daum.net,무교,우리은행,4164-820-461559,4
617,이택현,여성,158.4,63.3,A형,19650207,010-3215-3623,ogzg0wtcprwn6,daum.net,기독교,새마을금고,3-10686379508-4,8
619,김희서,여성,156.7,57.4,A형,19840119,010-9738-2563,urymdf0,yahoo.com,기독교,외환은행,043-956937-734,1
623,김준훈,남성,176.7,69.0,O형,19950602,010-0597-7186,mw05pdpsj5,daum.net,기독교,NH농협,514-4209-164-56,1
638,선현준,남성,159.7,62.4,A형,19470118,010-1456-7028,ksg14fmo25ue6,daum.net,기독교,기업은행,458-415893-75-598,9
640,김덕현,여성,164.0,56.8,O형,19820105,010-1646-2321,o0nl8cf,naver.com,무교,NH농협,132-7744-159-35,7
642,배지덕,여성,151.5,50.6,B형,19751031,010-5339-1276,px9qn4,yahoo.com,무교,우리은행,9450-063-182436,7
653,정석지,여성,157.5,55.6,O형,19640617,010-1118-8859,qqc82nilst4,daum.net,천주교,새마을금고,1-25700931409-2,4
657,장택희,여성,145.4,53.8,B형,19471002,010-9917-1560,sqn2eqwt6qf,yahoo.com,기독교,신한은행,768-782-570451,2
659,박남준,여성,152.2,51.9,O형,19520701,010-6051-3225,y34xvfy3q,daum.net,기독교,한국씨티은행,605-528375-339,4
665,김정협,여성,153.5,62.1,O형,19460615,010-1479-5004,kbprp4ffo,daum.net,무교,우리은행,5361-067-160576,1
672,이준현,여성,147.4,57.2,O형,19940102,010-7295-4254,qpik0p290ph,daum.net,불교,국민은행,879579-47-048779,2
674,박훈상,여성,156.1,63.9,A형,19890203,010-6556-5347,z6xu97m,naver.com,무교,하나은행,008-098233-87839,2
676,황지서,남성,174.6,62.0,B형,19730417,010-1403-9970,kqixfyygje7i,naver.com,무교,스탠다드(제일),191-64-843049,5
677,민지덕,남성,163.4,63.7,A형,19750512,010-4031-4487,oska87ug2ls,yahoo.com,무교,수협중앙회,6749-0640-6665,9
686,김우준,남성,163.0,71.3,O형,19930427,010-5901-0966,lfonlj2r2r,gmail.com,불교,신한은행,150-730-105158,8
689,김은석,남성,178.6,66.0,O형,19570715,010-9871-0415,bb5odt,gmail.com,무교,국민은행,711964-86-195060,8
693,안상지,여성,150.1,53.6,A형,19691013,010-4746-7144,dawtzuv28w4h,naver.com,무교,기업은행,002-875561-91-189,5
694,최지상,남성,169.6,66.9,O형,19640113,010-1012-4412,zbo4c5ez,yahoo.com,불교,하나은행,190-700577-63340,4
705,이정종,남성,167.4,66.7,B형,19841026,010-5869-3416,ejin2283cj,naver.com,기독교,새마을금고,7-29668308555-6,5
708,남상희,여성,157.2,59.0,AB형,19680425,010-0528-0004,f23r9qau08sy,yahoo.com,천주교,NH농협,895-9032-931-83,3
712,이남석,여성,157.2,56.1,B형,19740115,010-2173-8376,acoelmexfy4,daum.net,불교,하나은행,156-977104-93068,3
713,곽우준,남성,170.4,70.3,A형,19890706,010-8160-1677,yypp6d,daum.net,무교,스탠다드(제일),192-90-062567,7
715,김협진,여성,154.7,49.5,B형,19930317,010-2474-1708,xaqy1dozk1u0,gmail.com,기독교,기업은행,223-893108-66-925,7
725,김은성,여성,155.7,49.3,A형,19941113,010-0957-5174,mnosww,daum.net,무교,기업은행,473-863115-64-880,7
727,류희현,여성,151.7,44.0,O형,19570412,010-7644-8567,yp9py09,naver.com,불교,하나은행,766-141553-22997,5
729,박협훈,여성,152.5,44.9,O형,19960302,010-1543-5298,j59244ip,naver.com,불교,국민은행,903342-20-356104,8
742,정지협,남성,170.7,59.8,A형,19731126,010-5374-5209,xbsdur05yeip,gmail.com,무교,수협중앙회,0747-3461-8255,9
750,박훈성,남성,172.6,70.5,A형,19671217,010-2678-0200,r0jo132g8,daum.net,기독교,NH농협,553-1118-986-91,1
751,김협용,여성,157.7,53.4,A형,19740731,010-0005-8812,zpnuzh,gmail.com,무교,NH농협,525-3973-138-83,2
755,장종은,남성,178.1,59.3,B형,19910619,010-2964-7551,ef7t5p08it,yahoo.com,불교,스탠다드(제일),615-04-776180,2
756,김종협,여성,142.4,54.3,B형,19610428,010-4478-1630,o1ddpc956u,naver.com,불교,기업은행,819-170759-57-554,6
759,장정준,남성,176.6,72.0,O형,19811017,010-5030-6072,utmlib,daum.net,무교,기업은행,929-509235-98-998,6
761,이영훈,여성,157.5,51.6,B형,19551203,010-8801-0276,htrptap08jrl,yahoo.com,불교,새마을금고,2-12829090330-9,4
764,김우희,남성,177.6,70.9,B형,19680619,010-0727-1531,wlvh7vhozy,naver.com,무교,새마을금고,3-03380398086-1,6
766,김훈택,남성,181.5,56.2,AB형,19530729,010-5199-9410,h4kv8xoekdvve,yahoo.com,무교,새마을금고,5-37011442902-0,3
767,김용서,남성,164.3,71.8,O형,19531201,010-0420-0186,g5b80ikxox,yahoo.com,기독교,신한은행,972-756-284213,8
773,김훈협,여성,155.8,54.5,A형,19780819,010-9033-1246,bdd633fdn74z,daum.net,무교,스탠다드(제일),649-64-516085,8
774,박덕영,남성,164.9,65.7,O형,19820718,010-6574-0284,xfe3wtag04g,gmail.com,무교,국민은행,417593-58-642478,4
775,문영남,여성,152.1,56.3,A형,19860524,010-0392-4611,uc515zk0kg,daum.net,무교,신한은행,498-162-574304,6
780,고덕종,여성,149.5,50.5,B형,19870220,010-3547-5257,lolheh8he9,yahoo.com,불교,NH농협,385-9546-907-15,9
786,진진상,여성,154.0,48.5,A형,19510827,010-7252-5179,dv6dkxz,gmail.com,무교,새마을금고,5-49010376933-4,2
787,심현석,여성,152.5,47.6,B형,19670506,010-0518-9498,ma18wnfkvr,daum.net,무교,한국씨티은행,037-880242-200,4
788,최정은,여성,147.3,45.0,O형,19840119,010-3964-1598,hulihokir,daum.net,불교,기업은행,556-296629-62-295,9
799,임서현,남성,164.1,64.3,B형,19670701,010-1987-8405,ahx0b8oxz4mw,yahoo.com,불교,외환은행,199-244672-359,8
802,안훈진,남성,169.9,61.2,A형,19550419,010-9348-2202,kdszveochmrsd,yahoo.com,불교,스탠다드(제일),799-94-283723,5
804,유은준,남성,173.9,66.8,AB형,19521018,010-8735-6072,w5a8lzvl3,daum.net,무교,한국씨티은행,097-484790-760,4
805,서덕용,여성,167.7,54.1,B형,19661008,010-6918-5418,mvdqn4bdhrq8s,naver.com,무교,신한은행,769-279-102395,3
806,이준정,남성,168.7,71.4,O형,19961203,010-3320-0998,r5mok3be,daum.net,무교,스탠다드(제일),529-63-118269,5
814,김종준,남성,164.9,63.5,B형,19540908,010-7600-1054,wj269drspk3,daum.net,불교,기업은행,315-596840-38-668,5
829,김지준,여성,158.6,61.0,O형,19850812,010-6848-7048,aputogh9apz4,gmail.com,기독교,한국씨티은행,103-941422-916,5
837,정석희,여성,165.3,43.8,B형,19661217,010-6613-3954,w22mdii1v,naver.com,불교,새마을금고,9-37463512593-5,8
841,김남택,남성,164.3,58.4,A형,19920827,010-6786-3891,xeavrjk5x,naver.com,무교,국민은행,856436-98-900682,8
843,백준성,남성,169.0,68.0,AB형,19831104,010-8079-0509,ea443hn,yahoo.com,불교,우리은행,3010-570-696317,7
849,박택진,여성,158.9,61.3,B형,19751113,010-2466-9464,r90lx37qyyw5l,gmail.com,기독교,외환은행,018-058699-855,3
850,김덕서,여성,152.5,56.8,AB형,19650513,010-6879-8877,z1sljxwikfb8,gmail.com,기독교,NH농협,038-7246-990-79,6
859,권현희,여성,150.9,51.5,A형,19940711,010-9639-9815,p7drek52p3dzi,naver.com,불교,우리은행,0452-416-631123,1
860,정진우,남성,175.5,68.1,B형,19610525,010-4406-3235,l5we3ijebf,yahoo.com,천주교,신한은행,723-212-632867,9
