No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
106,이성영,여성,153.5,50.4,O형,19750904,010-2445-5664,vh81n3,yahoo.com,무교,16.232.52.55,0c:df:06:46:df:a5
107,이석성,여성,149.2,59.6,A형,19760607,010-9869-4889,i7ezcr2rxq9,gmail.com,기독교,126.30.174.91,16:99:84:b5:e9:bb
108,최훈준,남성,167.1,65.7,AB형,19731229,010-0123-1640,mrzvy9a488mjg,naver.com,무교,90.145.105.180,74:1a:07:27:81:2f
115,양준훈,여성,163.8,48.0,O형,19700519,010-2821-1849,aiwlu2a7b7p,gmail.com,기독교,101.211.137.178,cc:ed:10:47:1e:02
118,조성훈,여성,158.4,49.0,A형,19571030,010-3362-6477,kxrkrvsr,gmail.com,기독교,34.234.33.71,83:16:71:50:ba:ab
119,이덕영,여성,159.3,52.9,A형,19830713,010-6570-3552,klc52c3l91y7d,daum.net,무교,243.188.249.255,61:49:f3:8f:e7:ad
121,손서은,여성,150.0,47.2,B형,19751018,010-7887-2028,gmebpvuwy9ihi,naver.com,무교,157.63.67.228,66:8c:0e:1d:a1:dc
122,유성정,여성,156.8,61.4,B형,19580711,010-7647-4499,jp6yqxbk4kf3,yahoo.com,불교,7.234.127.73,87:d1:5b:b2:d7:24
123,박덕상,여성,147.8,47.7,A형,19890906,010-2978-6261,cnyfg54w,naver.com,기독교,24.209.42.34,13:84:61:f8:c6:43
130,양희훈,남성,175.6,63.8,B형,19480302,010-1654-3378,atq5zguj,naver.com,기독교,63.158.99.220,d8:11:f5:5d:7b:a1
140,김훈서,남성,173.5,66.0,A형,19961030,010-6628-7783,i1isrsv0,naver.com,기독교,20.100.77.97,69:89:e2:92:0c:7e
141,김은현,여성,158.6,50.7,AB형,19780707,010-7767-1355,ns7tetdf,yahoo.com,무교,73.66.6.96,46:ed:3e:e7:88:74
144,최협준,남성,164.3,58.7,B형,19840111,010-4205-8024,mplr10jire,yahoo.com,천주교,46.107.116.56,bf:f2:b6:1a:5b:e5
156,장석우,여성,155.2,54.7,B형,19900803,010-5195-9754,vijypqtuw,gmail.com,불교,159.64.87.140,01:da:b2:db:ae:5c
158,양석정,남성,168.9,70.7,O형,19490212,010-4908-6977,j1orj3wahby1,naver.com,불교,245.55.111.23,c5:58:cd:3b:69:2e
160,김용정,여성,159.8,58.8,AB형,19690613,010-5710-1130,l35atvoy,yahoo.com,무교,45.175.162.105,5a:e6:35:16:70:b2
170,경용희,여성,159.9,53.4,AB형,19820201,010-4790-8561,oocr6gjo7f,yahoo.com,기독교,151.30.176.5,be:41:f3:2b:90:b4
174,서상지,여성,151.8,57.3,AB형,19640209,010-3224-8535,ffmgk5o6e,gmail.com,천주교,25.71.190.236,06:16:08:b9:97:61
183,조덕상,남성,178.6,66.9,B형,19830701,010-0471-0669,ewutdin8,naver.com,기독교,92.52.70.27,f9:61:53:a0:cf:24
186,백용성,남성,172.3,69.5,A형,19910315,010-3768-3725,x0vc2rpc1c,naver.com,무교,101.87.169.13,ce:93:ea:2b:fc:44
187,박준정,여성,156.1,58.5,A형,19800114,010-4627-3005,p4w9da,gmail.com,불교,89.11.189.155,73:40:3e:58:d2:67
193,남석희,여성,152.0,55.6,A형,19550507,010-9395-7531,lrjet5e1tisvn,naver.com,불교,159.151.30.214,a6:f1:f6:d6:5c:40
197,이훈협,여성,160.3,54.9,B형,19860302,010-6268-8031,x9xu4p8tj,gmail.com,불교,8.129.124.153,9d:b8:30:32:c6:52
202,신덕준,여성,164.3,59.2,B형,19811116,010-5209-1933,nuy8lea3q2,yahoo.com,무교,215.182.85.190,da:27:64:ce:c6:1a
208,배훈영,남성,162.7,68.7,O형,19570425,010-6217-3167,ubd7ybmkjpo4,gmail.com,무교,218.227.235.195,c3:17:df:5c:11:b9
211,석은종,남성,171.0,68.1,B형,19871010,010-0895-4660,j25fy58y,daum.net,기독교,242.89.161.223,13:22:aa:3c:2c:48
217,차택훈,남성,177.6,70.0,A형,19581118,010-3472-8183,ibtzgefbvpr,daum.net,천주교,182.26.181.177,c9:3f:4a:0a:cb:eb
220,차석성,여성,153.8,52.4,A형,19481125,010-8712-9336,a7d9do2mf5j,naver.com,무교,79.180.18.130,e9:6d:61:bf:e1:64
222,예서진,남성,166.2,62.0,O형,19840824,010-6231-6032,hetjdm7l,naver.com,무교,97.112.221.192,12:2e:a1:43:14:1e
225,전협지,여성,164.6,57.2,B형,19660717,010-1830-6931,kfzgycddqxwz,yahoo.com,무교,12.139.157.155,2a:f3:96:b6:61:63
229,정진지,남성,173.9,60.4,A형,19700512,010-4482-4211,rkoskcg,daum.net,기독교,98.100.102.71,ad:41:6b:be:ae:bb
233,조서협,남성,176.7,72.5,A형,19570921,010-1548-5954,itnbndr,naver.com,천주교,101.101.17.78,3f:fc:ee:4f:0a:cf
243,김은종,여성,155.4,52.6,AB형,19781124,010-2407-8263,dpqyuaqen9,naver.com,무교,70.234.109.236,20:69:c5:33:fe:6c
244,김우종,남성,166.2,65.8,A형,19750714,010-2973-0140,r9vwny,gmail.com,무교,23.17.2.119,a6:c9:28:05:42:34
251,왕영용,남성,170.0,67.5,B형,19870724,010-4532-0408,nsesf51e,gmail.com,무교,100.173.160.156,c7:8b:5a:cd:d6:fe
255,이지진,남성,177.8,63.6,B형,19541016,010-6133-4561,au97p0,naver.com,불교,144.52.170.90,2c:a7:77:d4:e5:61
270,이희지,남성,169.8,74.8,AB형,19890107,010-7258-7100,pqtp6z,naver.com,무교,19.56.206.109,d4:5f:98:68:9a:a0
277,김준남,여성,145.1,58.0,B형,19690106,010-3609-4027,k7av72a47me40,gmail.com,천주교,209.140.165.245,b2:2e:a4:ae:fe:e1
278,김지현,남성,174.2,67.9,B형,19880711,010-5442-7604,f400gvhp,daum.net,천주교,130.197.109.64,21:09:44:87:5d:c5
281,송지훈,여성,152.5,55.7,AB형,19820314,010-6748-5637,dy3npvu5g0i,daum.net,무교,155.199.11.148,3b:cb:e8:80:75:8a
287,임남서,남성,159.5,64.0,AB형,19861208,010-9432-5047,xw21jvppc,gmail.com,불교,7.20.155.112,64:68:96:40:9a:28
288,김상영,여성,156.3,54.6,B형,19480708,010-4543-8692,jh9sgie7,daum.net,기독교,48.228.184.106,e1:3f:13:f2:a9:0b
289,박준훈,남성,176.4,63.2,A형,19540713,010-3810-8375,sn6urf,gmail.com,무교,211.249.174.65,90:88:22:fa:42:51
293,이현성,여성,146.9,57.0,A형,19950301,010-5971-8421,ocn8o671w0i,gmail.com,무교,1.3.140.190,d0:e4:70:21:d9:08
294,양우준,남성,164.1,64.1,AB형,19691025,010-4510-0099,lqfgfjaa,daum.net,무교,12.115.36.234,a8:e6:e2:d0:40:af
296,최지영,여성,152.7,54.5,A형,19551112,010-8879-2456,q7edw5,gmail.com,기독교,242.129.206.73,05:1e:58:f7:c4:36
302,이지성,남성,160.7,64.3,O형,19730828,010-2818-1527,i5fgux,yahoo.com,기독교,206.26.229.162,33:f8:04:5b:dd:8f
305,김우준,남성,160.6,67.1,A형,19800614,010-0842-2963,s2uvt71xl99jm,daum.net,무교,194.22.228.213,26:9b:9e:6e:ef:de
306,나지협,남성,166.2,68.8,A형,19910520,010-1364-1810,kyx4d73uxgi93,naver.com,기독교,141.16.21.16,36:e2:ca:97:6d:97
308,전종용,여성,162.1,55.4,A형,19710109,010-5313-6415,yur6usenmrtjl,naver.com,무교,76.37.48.213,7a:9e:2d:88:69:42
312,최준덕,남성,162.5,66.8,A형,19480104,010-0549-1080,h3ykd6p,daum.net,불교,209.115.154.91,62:5c:11:fe:ad:90
319,안현지,여성,150.7,57.1,A형,19531121,010-2953-0905,l29xx8em,naver.com,무교,191.158.28.213,26:59:e5:6e:fe:5b
323,박덕택,남성,178.8,64.4,A형,19850331,010-7321-0885,qkiu5i6nf2,naver.com,불교,154.32.201.23,18:db:53:f9:17:72
324,윤준훈,남성,165.4,59.8,A형,19891004,010-3053-6143,cj65lqg8ens2,gmail.com,무교,239.114.6.218,dd:56:cd:ff:f0:26
326,이상정,남성,165.3,62.6,A형,19740215,010-8748-2554,p1gzbstm8zy,naver.com,불교,110.137.146.55,45:19:90:8e:37:e1
332,국준서,남성,166.0,64.1,A형,19741126,010-5354-6906,kvawytpmw0,daum.net,무교,209.200.58.8,03:bc:5e:67:d4:87
338,김훈덕,남성,166.2,71.2,A형,19720814,010-9659-3528,xmlm3c767m39l,gmail.com,불교,214.197.18.5,65:6f:e5:56:a4:b1
343,김훈지,여성,155.4,52.0,B형,19941225,010-5780-1830,kunw717,daum.net,기독교,5.244.211.155,25:9f:b5:86:96:36
349,서지종,남성,174.1,63.0,O형,19680128,010-0369-1215,ctysx5u,yahoo.com,무교,223.162.249.146,99:39:9e:1a:88:d9
353,안현택,여성,152.7,45.3,B형,19490921,010-8813-4076,julspft,gmail.com,기독교,125.66.81.152,a4:af:e9:c7:fb:55
354,이희성,여성,157.1,53.8,A형,19930511,010-3421-0620,pb00qjvk,naver.com,무교,238.207.160.114,9b:37:a9:9f:e4:a2
355,이준훈,여성,151.6,60.7,A형,19921118,010-9607-5681,vmswzhccy,naver.com,천주교,91.185.201.129,3b:6f:c8:28:b2:66
356,채상지,남성,170.3,69.9,B형,19660408,010-0165-7467,qwywvhpf4wbsx,yahoo.com,무교,220.22.237.179,6d:bb:c9:b8:1d:0e
360,황서진,남성,171.6,67.7,B형,19681014,010-6145-2447,gf8umt,naver.com,기독교,212.220.255.7,eb:39:44:5b:b3:50
361,김석성,남성,173.9,64.9,O형,19960828,010-2278-3244,lvb7bw,yahoo.com,무교,210.28.27.210,65:b1:f6:f5:b1:a5
363,홍정덕,여성,159.6,54.8,AB형,19771023,010-3358-5920,st1ll41yfrbi4,daum.net,기독교,36.197.15.182,43:ac:bf:9f:fa:a6
370,오석현,남성,160.2,71.5,B형,19491015,010-4801-7407,ly9w9gogqnf,gmail.com,무교,226.14.114.225,99:88:c3:69:4b:f7
374,박은성,여성,151.7,52.8,A형,19880826,010-0087-5301,ye9lelsc,yahoo.com,기독교,36.154.183.95,39:3f:0f:16:df:a0
376,소우지,여성,152.9,58.9,B형,19550911,010-5275-9006,r8uw3y76x,daum.net,천주교,210.120.194.253,73:f0:92:68:a4:9e
377,이지상,남성,167.7,65.6,B형,19540223,010-0342-9206,khmxl8,daum.net,기독교,224.209.191.12,29:d7:af:45:65:bb
378,김남준,여성,155.1,55.3,A형,19580919,010-7441-9691,h1zy10due,yahoo.com,기독교,129.215.184.32,f4:6e:b2:10:8b:02
381,장준서,여성,157.4,52.6,O형,19951012,010-8700-7807,osjjf8tenk80,daum.net,무교,152.67.99.186,89:f7:f7:3a:2e:09
383,최훈지,남성,175.5,63.2,O형,19800220,010-4111-5826,sjy4czu4,yahoo.com,무교,142.207.183.6,84:48:c0:d3:aa:c6
387,이용진,여성,159.2,59.8,A형,19480226,010-7638-4197,bn3dczltcky8z,naver.com,무교,189.191.200.222,47:a3:9d:1c:fc:e4
388,배서정,여성,161.7,54.8,A형,19600905,010-5890-8323,nhybb8oejj4tj,yahoo.com,무교,221.3.123.213,f6:34:75:a5:e9:53
390,이석협,여성,157.6,59.8,B형,19500417,010-5702-7521,bg6f30el,naver.com,기독교,225.100.32.190,7b:27:2f:45:1c:fd
392,송택진,남성,169.3,68.5,AB형,19840106,010-4739-4276,tfyx3oe9d014i,yahoo.com,무교,84.211.72.161,45:a7:54:78:79:58
395,장지택,남성,175.0,62.4,A형,19581112,010-6738-8192,hqbgg16cdw8l,yahoo.com,기독교,165.156.133.105,d0:d2:c3:71:39:80
400,김현영,남성,168.4,59.8,A형,19620211,010-4020-6780,xw68jlqsos4yj,yahoo.com,무교,58.205.241.188,61:da:90:1e:fd:bd
405,박지정,남성,165.9,69.0,A형,19510517,010-3751-9414,mllccr,daum.net,무교,183.84.111.2,9d:f0:71:23:7b:04
406,이훈현,남성,165.2,59.9,O형,19490327,010-7210-4911,jf3uyk,gmail.com,불교,160.190.241.112,9f:18:10:eb:90:5b
409,김지택,남성,175.7,70.3,B형,19640211,010-8346-0707,vnrnmuno7yw,naver.com,기독교,252.119.111.166,70:64:dc:67:89:b4
423,한훈지,남성,167.3,64.7,B형,19470717,010-5504-4318,pkbdphh6euyn,gmail.com,기독교,211.50.12.222,eb:aa:4c:35:62:43
424,박훈현,남성,166.3,57.9,A형,19880801,010-4144-9837,dkarlr7r5u7,naver.com,무교,194.36.241.197,25:22:f1:e4:8f:06
427,박지용,남성,167.2,68.1,B형,19611112,010-0450-1154,iy8m8smj8bo,naver.com,불교,11.103.239.50,42:34:eb:20:fe:6b
433,김희준,남성,161.0,69.4,AB형,19750504,010-7439-1615,zusm5g,yahoo.com,무교,170.37.110.190,55:e6:bc:2b:cb:38
435,김석정,남성,164.3,65.8,O형,19560322,010-6625-9878,cjiwl5apbb,yahoo.com,무교,199.168.203.37,5f:65:b7:2f:65:8c
443,오준훈,남성,173.6,69.7,B형,19610321,010-8318-9261,neop689eu40j,daum.net,기독교,12.29.221.254,33:77:8a:75:a3:ad
449,이협영,남성,166.1,74.0,O형,19890409,010-2353-7197,v161neat,daum.net,무교,78.233.107.15,ba:98:95:2a:01:c5
454,윤덕지,남성,175.6,66.5,B형,19850809,010-8302-5559,gao8evz5v,daum.net,기독교,80.94.136.215,94:c2:d0:ad:38:14
469,배덕택,남성,177.9,64.4,AB형,19861029,010-9264-2907,t5xuta9,naver.com,무교,58.157.251.5,89:ba:90:b1:c2:f1
470,김정훈,여성,142.9,56.6,O형,19691220,010-9346-0542,nvwhbsaywe,gmail.com,천주교,129.163.108.16,14:11:7f:3b:51:9b
473,박은정,남성,160.8,61.8,O형,19860902,010-5974-3441,j1bhfnxu6g,daum.net,불교,118.91.222.48,88:53:53:4e:c0:aa
476,임지용,여성,161.2,48.8,A형,19610220,010-0819-6210,cy6mg0g,yahoo.com,천주교,115.239.144.84,ca:43:88:e2:32:dd
482,안성은,남성,164.8,64.9,A형,19840528,010-8789-9111,jonxjdr5v7kvg,naver.com,무교,44.28.60.188,a5:26:55:d0:57:cc
483,송훈준,여성,146.4,55.2,A형,19470918,010-3592-7565,mihgzr,daum.net,무교,70.58.138.31,7e:6f:51:67:aa:29
491,김희택,남성,178.9,67.1,O형,19490615,010-7117-3938,g92fwwb97yjt,gmail.com,무교,132.153.226.28,66:76:ee:94:c4:fd
495,이용지,여성,153.2,52.8,O형,19531204,010-9007-9841,v1um4ryq4eo,yahoo.com,무교,43.131.250.148,80:eb:a3:6f:58:0f
501,이지진,여성,154.1,52.1,O형,19941020,010-7974-2326,zqip6v2cs,naver.com,기독교,21.210.245.134,86:08:8a:8a:e6:2e
503,채현지,여성,157.3,58.5,A형,19880406,010-7203-5141,m8jze9,gmail.com,기독교,140.81.55.189,28:82:a0:51:c9:79
507,강준지,남성,173.3,64.8,O형,19530627,010-4105-0410,becpo3x,daum.net,무교,27.74.27.51,0a:a7:35:d2:16:81
512,하정서,여성,164.0,51.0,A형,19690901,010-9475-2472,hbuvodbtqgb,gmail.com,불교,229.168.246.105,78:ad:f2:ad:14:b3
520,남석진,여성,154.2,56.7,AB형,19620525,010-9873-6716,n4lj1c4us8ty,gmail.com,무교,153.46.218.137,0e:72:26:03:d6:f6
521,김성석,여성,159.4,58.0,AB형,19890605,010-6040-1353,bx7e095x,yahoo.com,기독교,242.32.196.50,77:75:e3:02:d3:e8
527,이택용,여성,153.5,61.4,O형,19651205,010-4381-8001,x5x2b6g7pk,daum.net,무교,101.247.95.86,f2:46:56:a9:73:f0
530,문훈협,남성,166.3,70.8,B형,19870211,010-6477-8624,a28vvm3u4m,naver.com,불교,76.114.64.183,5d:72:ca:9e:78:b2
533,오준현,여성,158.2,56.1,O형,19870122,010-4444-9540,r0fcb3bvkd5r2,yahoo.com,기독교,255.107.208.99,7b:ae:d2:61:bd:bc
535,손준희,남성,172.7,73.0,B형,19830630,010-1277-4476,en1cap9rcm,gmail.com,무교,164.167.230.73,8c:54:76:ad:e3:76
536,윤서석,남성,173.6,68.4,O형,19761018,010-5536-8960,ofhi1tnfej,daum.net,무교,168.35.152.83,8c:81:d6:bb:51:76
537,김준현,여성,152.4,55.0,O형,19650318,010-6198-5959,sf3z7y,daum.net,기독교,10.103.194.67,ff:c9:a0:d9:43:82
542,정지협,남성,169.6,65.6,AB형,19831216,010-9558-9061,n2wan674hh3o3,yahoo.com,무교,132.230.25.63,bd:1f:e8:47:cc:9c
544,현상지,여성,155.7,52.1,O형,19701217,010-9925-9048,rnxesc4e9v,daum.net,무교,84.91.51.132,8d:a8:5b:13:b6:28
549,정훈덕,남성,183.1,63.7,O형,19870804,010-3409-6190,d04y0qdy3r,gmail.com,불교,130.186.19.199,ce:dc:1f:59:9d:42
555,홍성덕,남성,173.4,65.2,O형,19630507,010-8561-2687,uxwj0o2vkc,daum.net,무교,49.44.167.141,96:28:64:c5:90:4c
559,유종상,여성,150.0,53.8,A형,19800701,010-2047-0305,nx43q0mu51,daum.net,기독교,50.9.75.24,69:80:a2:49:e9:b0
563,손훈용,여성,160.4,59.5,A형,19550110,010-5591-2474,n3rkysv7,naver.com,불교,172.176.105.118,ba:83:91:90:66:87
568,김훈서,여성,152.0,58.3,B형,19480927,010-6451-1665,umck92tqhwa5,gmail.com,무교,242.113.28.125,50:48:d6:7b:51:e2
572,조택지,남성,176.9,71.8,O형,19790421,010-9305-8398,zhjvu5,yahoo.com,무교,151.184.32.225,e9:9f:28:d9:25:ad
576,강지우,여성,155.0,58.8,O형,19510914,010-1555-8896,t9mgttwttaquz,yahoo.com,불교,248.192.117.228,3c:37:83:bc:32:16
583,김협서,여성,151.2,49.9,AB형,19650814,010-2826-2390,mbcrpqjr7cbl,daum.net,불교,128.104.76.182,a5:32:fc:8a:62:ca
587,장훈석,여성,159.5,53.8,A형,19540916,010-3262-0258,dfutr3lcy9oqx,yahoo.com,불교,232.99.149.13,41:ad:1d:e1:45:47
588,길지택,여성,163.8,56.0,B형,19660427,010-3058-0280,toobgi5cmc5,naver.com,무교,148.225.26.109,1d:81:e8:5c:e3:96
594,김지용,남성,167.6,71.4,O형,19620601,010-1702-8796,b1ovmu7,naver.com,무교,59.69.178.119,0a:f7:32:2f:84:78
606,김성희,여성,154.8,55.5,B형,19940724,010-0048-0932,onv3tk1,naver.com,무교,110.11.207.9,88:4e:9b:a7:86:4d
608,김상우,남성,175.4,67.6,AB형,19870816,010-4091-5744,x8vrtuze,daum.net,기독교,57.214.98.144,6e:15:a5:35:5d:f3
611,황진준,여성,155.4,63.3,B형,19710811,010-6152-3419,z650wxtd6eu,naver.com,불교,197.120.123.220,55:19:a7:de:89:a2
613,이훈석,여성,161.6,51.9,AB형,19810208,010-9113-0514,shzd58mn,gmail.com,기독교,153.142.198.59,ce:73:be:1f:35:42
617,이택현,여성,158.4,63.3,A형,19650207,010-3215-3623,ogzg0wtcprwn6,daum.net,기독교,60.119.80.41,25:a4:a5:a9:2d:fc
623,김준훈,남성,176.7,69.0,O형,19950602,010-0597-7186,mw05pdpsj5,daum.net,기독교,212.97.226.92,40:12:42:54:8f:19
625,김택현,여성,141.6,53.5,O형,19810606,010-7912-2188,grdxjblm,daum.net,무교,147.49.185.63,90:c3:15:a7:a1:73
634,김은영,여성,150.7,57.9,AB형,19710331,010-5220-5697,n8j9hm9e4hxr,yahoo.com,무교,102.14.134.176,6e:f0:9c:59:e6:1f
643,이준지,여성,156.1,50.8,O형,19750914,010-4671-2363,xxo6ki,naver.com,무교,122.59.33.81,9c:e4:53:f8:3a:44
663,강상종,남성,166.1,66.0,O형,19881128,010-9161-8099,galdcx1oln7,yahoo.com,기독교,35.40.139.160,c1:59:0a:2b:45:43
666,이훈우,여성,150.0,59.0,O형,19520205,010-7595-4178,vafzds,yahoo.com,기독교,31.105.65.134,d0:5e:d3:0f:36:8e
669,조지석,남성,165.8,69.1,B형,19540514,010-4066-8228,y7u6ilo57,naver.com,무교,48.211.237.167,84:72:57:38:a5:7d
682,신용현,여성,162.3,56.0,AB형,19771021,010-1024-9617,pbf9kpioueg,naver.com,불교,11.204.136.128,e1:08:18:81:6c:5f
688,박성석,남성,178.8,67.0,O형,19830305,010-9684-9512,b27a9zqosnenc,daum.net,불교,145.107.14.81,d3:f1:66:61:60:9d
691,손서희,남성,167.2,72.5,A형,19630706,010-0918-3445,y6ii47avvgfg8,gmail.com,천주교,35.109.90.152,31:5a:73:29:0d:cf
694,최지상,남성,169.6,66.9,O형,19640113,010-1012-4412,zbo4c5ez,yahoo.com,불교,72.133.64.9,ba:15:52:41:56:8f
699,정훈진,남성,174.6,66.0,B형,19920103,010-5947-3922,li2tcmhgw,yahoo.com,불교,125.182.159.195,70:bc:0e:12:4d:ba
706,김서종,남성,166.9,70.4,A형,19850702,010-4268-7973,ixtkg01cwpw4s,daum.net,무교,221.8.116.152,c6:b1:df:48:46:57
712,이남석,여성,157.2,56.1,B형,19740115,010-2173-8376,acoelmexfy4,daum.net,불교,181.61.108.203,e0:ef:88:fc:2a:64
714,이준영,여성,157.2,62.8,O형,19630618,010-6378-6568,s9ru244081,yahoo.com,무교,190.79.154.1,9d:e1:4d:6f:ae:30
715,김협진,여성,154.7,49.5,B형,19930317,010-2474-1708,xaqy1dozk1u0,gmail.com,기독교,166.112.252.230,89:c1:45:78:83:41
716,김우현,남성,166.9,70.9,B형,19511225,010-0416-1289,aagm8vyrn6,gmail.com,기독교,145.163.32.80,6e:2c:01:f7:6d:23
720,최우남,여성,155.4,53.1,O형,19620526,010-5233-7171,ri4po7x5e,yahoo.com,무교,71.60.104.178,61:36:c3:5b:97:3e
724,양서준,여성,155.2,54.1,B형,19530307,010-6280-8309,tmj94rw,daum.net,불교,62.234.122.218,bb:5c:17:75:30:fd
725,김은성,여성,155.7,49.3,A형,19941113,010-0957-5174,mnosww,daum.net,무교,133.47.46.147,6d:e6:d2:97:fc:ed
726,박정현,여성,149.9,57.8,AB형,19801226,010-1445-8051,ntx1xmwu4,yahoo.com,불교,159.135.79.113,b6:07:6a:6e:f3:1a
729,박협훈,여성,152.5,44.9,O형,19960302,010-1543-5298,j59244ip,naver.com,불교,54.11.203.111,07:2b:fd:40:1a:be
730,김지훈,여성,150.9,59.8,A형,19850424,010-6451-2828,uw61zae1kcv,gmail.com,무교,190.82.177.154,ba:03:b3:ff:3b:e6
732,한훈상,남성,168.7,60.8,A형,19590530,010-8323-4946,vqra6wh58fo,gmail.com,무교,224.14.72.230,70:e3:77:a4:3e:32
737,박훈용,여성,154.6,63.4,O형,19550520,010-9554-6320,bzzdp6ehqh7,gmail.com,불교,237.241.214.85,1b:af:bf:5f:6c:84
738,선종은,남성,171.5,66.3,A형,19700201,010-3751-1636,f37fy2qn10,gmail.com,불교,41.35.177.229,0f:35:01:08:7f:d8
741,원은석,남성,164.7,67.4,A형,19590628,010-1349-8510,wlsoubsyv,gmail.com,불교,82.161.40.83,34:78:d1:df:c2:be
744,이준종,남성,168.4,70.9,B형,19570216,010-0767-3176,jrcbytvhp,yahoo.com,불교,150.101.130.178,92:7d:65:68:cf:37
746,이종우,여성,147.3,58.8,A형,19551030,010-9327-9161,fylp34g,gmail.com,불교,195.221.58.198,20:b1:db:24:43:df
747,최상용,여성,155.2,63.2,A형,19951225,010-5706-2583,tsfqyi4,naver.com,무교,171.86.180.185,18:12:0f:cd:a9:a0
757,박훈택,남성,171.7,64.7,A형,19821218,010-7337-7435,pbu3u0n,yahoo.com,기독교,180.198.49.74,c9:93:88:0f:84:43
761,이영훈,여성,157.5,51.6,B형,19551203,010-8801-0276,htrptap08jrl,yahoo.com,불교,111.242.125.118,8b:7b:85:e6:24:6d
762,김훈은,여성,150.7,57.4,A형,19690226,010-1895-7645,kybgke,yahoo.com,기독교,93.79.169.50,a5:70:66:15:39:15
770,이용석,남성,169.3,67.9,B형,19650515,010-3541-4286,iumo8m,yahoo.com,기독교,197.109.141.100,ac:ae:96:a0:c1:c6
