No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
316,김석영,여성,152.8,52.2,A형,19890416,010-5321-2157,ppckiro,naver.com,불교,광운대학교,사회,0.97
318,손준상,남성,171.1,68.0,O형,19550630,010-2068-1236,zsd9a9d6s0y,naver.com,불교,서울시립대학교,인문,2.4
319,안현지,여성,150.7,57.1,A형,19531121,010-2953-0905,l29xx8em,naver.com,무교,감리교신학대학교,의학,4.03
321,이석용,남성,166.0,59.8,AB형,19750706,010-8584-1806,kcct1nwm,daum.net,불교,한양대학교,예체능,4.07
323,박덕택,남성,178.8,64.4,A형,19850331,010-7321-0885,qkiu5i6nf2,naver.com,불교,성신여자대학교,공학,3.4
325,정종준,남성,159.3,68.2,B형,19960325,010-9516-1277,mqwmrapst7x,gmail.com,기독교,육군사관학교,공학,1.17
334,김희정,남성,174.9,73.3,B형,19891102,010-1242-2477,zfe2l7r,yahoo.com,기독교,한국예술종합학교,법학,3.18
338,김훈덕,남성,166.2,71.2,A형,19720814,010-9659-3528,xmlm3c767m39l,gmail.com,불교,총신대학교,예체능,4.09
339,김훈준,남성,166.7,67.8,B형,19680427,010-6435-0262,akvbq2cy5,yahoo.com,기독교,그리스도대학교,의학,0.79
341,김석현,남성,170.2,65.9,B형,19840410,010-4646-9084,hvfhe3uz5k8,daum.net,기독교,세종대학교,사회,0.39
342,김협덕,남성,164.6,66.2,B형,19860322,010-1612-0575,j03tfmwpmu,gmail.com,기독교,한양대학교,의학,0.16
343,김훈지,여성,155.4,52.0,B형,19941225,010-5780-1830,kunw717,daum.net,기독교,숭실대학교,의학,2.91
347,최우용,남성,159.6,64.1,B형,19920102,010-3014-3360,mnxnsrh8608m,naver.com,기독교,한국예술종합학교,교육,3.7
348,노남상,여성,157.9,58.8,A형,19460125,010-6545-0053,g9p5v2lb4,yahoo.com,무교,연세대학교,의학,0.99
354,이희성,여성,157.1,53.8,A형,19930511,010-3421-0620,pb00qjvk,naver.com,무교,서울여자대학교,자연,3.33
355,이준훈,여성,151.6,60.7,A형,19921118,010-9607-5681,vmswzhccy,naver.com,천주교,서울시립대학교,교육,0.1
360,황서진,남성,171.6,67.7,B형,19681014,010-6145-2447,gf8umt,naver.com,기독교,경희대학교,인문,2.63
370,오석현,남성,160.2,71.5,B형,19491015,010-4801-7407,ly9w9gogqnf,gmail.com,무교,광운대학교,교육,0.1
371,박훈상,남성,179.2,66.7,AB형,19550608,010-9817-1435,nr1a8ac59d,naver.com,기독교,서경대학교,공학,0.78
376,소우지,여성,152.9,58.9,B형,19550911,010-5275-9006,r8uw3y76x,daum.net,천주교,건국대학교,인문,3.97
378,김남준,여성,155.1,55.3,A형,19580919,010-7441-9691,h1zy10due,yahoo.com,기독교,고려대학교,교육,3.18
384,임준정,여성,155.0,55.3,B형,19730511,010-1088-8768,xts3yfbqcxz,daum.net,기독교,중앙대학교,인문,0.13
389,손진지,남성,173.5,69.9,B형,19680813,010-2634-2331,l6tje6p2mrnw,yahoo.com,무교,장로회신학대학교,법학,3.53
393,김남용,여성,152.6,53.9,A형,19570629,010-1245-0484,zvraew8af,gmail.com,무교,고려대학교,교육,3.32
395,장지택,남성,175.0,62.4,A형,19581112,010-6738-8192,hqbgg16cdw8l,yahoo.com,기독교,그리스도대학교,인문,4.31
398,최협용,남성,169.1,64.2,O형,19730502,010-2440-2535,ugr3za,yahoo.com,불교,한양대학교,교육,3.17
399,윤남은,남성,164.7,71.1,O형,19800514,010-0621-9745,tzes8jl,yahoo.com,기독교,서울기독대학교,자연,2.78
401,조석희,여성,154.7,55.1,B형,19960526,010-6107-0697,fl4j4cgz,yahoo.com,무교,KAIST,인문,2.72
406,이훈현,남성,165.2,59.9,O형,19490327,010-7210-4911,jf3uyk,gmail.com,불교,경기대학교,사회,1.21
419,최지현,남성,176.2,68.1,AB형,19521110,010-4352-8269,wl01zx7,naver.com,불교,덕성자대학교,교육,3.73
421,류희준,여성,154.0,60.4,O형,19790615,010-8126-5910,ohc9z6c7yr,gmail.com,무교,추계예술대학교,인문,2.93
428,문석은,여성,160.6,53.3,O형,19730708,010-6490-2213,zbz2bopp195v,yahoo.com,무교,한국예술종합학교,공학,2.75
431,전남훈,여성,155.6,54.2,A형,19460221,010-3818-9467,k1nxwhyu3lo,gmail.com,천주교,홍익대학교,인문,2.18
437,조협현,남성,166.7,65.8,A형,19700804,010-3012-6163,fz8r6szhd,daum.net,무교,한영신학대학교,자연,2.83
440,박상덕,남성,168.0,68.7,A형,19830301,010-2991-0314,fxm2pptro0xq8,gmail.com,불교,서울시립대학교,예체능,2.19
447,한은현,여성,150.7,56.5,O형,19670512,010-2283-8056,b0tds33tj8nt7,naver.com,무교,숭실대학교,예체능,3.79
451,강정지,남성,175.9,65.0,A형,19471118,010-1193-9152,e4h45k,yahoo.com,기독교,서울여자대학교,예체능,1.86
455,김택성,남성,165.6,62.8,A형,19890918,010-8439-4544,p0cxest7zw8,naver.com,무교,한영신학대학교,자연,0.17
456,백현남,남성,164.8,69.1,B형,19820727,010-1968-9867,opnghp,yahoo.com,불교,그리스도대학교,법학,0.73
458,김정성,남성,166.7,67.1,O형,19670917,010-5106-3621,nysu1on7skdy,yahoo.com,기독교,한성대학교,교육,2.4
459,김은진,여성,156.7,61.8,O형,19550628,010-5142-4468,h1lb3pclvczer,daum.net,기독교,총신대학교,공학,0.61
461,황현상,여성,153.1,57.7,A형,19950809,010-0617-0500,l3qmqn1lyh,naver.com,무교,추계예술대학교,법학,2.67
463,김덕지,남성,168.8,62.3,O형,19770714,010-7675-3073,ge8r2pjoma4t,naver.com,무교,연세대학교,자연,1.27
464,김지우,남성,161.2,61.7,O형,19840430,010-1955-7125,o0knadum2s8j2,daum.net,불교,덕성자대학교,교육,3.26
472,이석성,여성,163.1,56.0,O형,19681019,010-7948-2895,s72l8h7,yahoo.com,무교,세종대학교,자연,4.4
473,박은정,남성,160.8,61.8,O형,19860902,010-5974-3441,j1bhfnxu6g,daum.net,불교,동국대학교,교육,4.1
479,최성협,남성,173.8,57.8,O형,19550517,010-3410-5164,ricio8,gmail.com,무교,성신여자대학교,자연,4.41
483,송훈준,여성,146.4,55.2,A형,19470918,010-3592-7565,mihgzr,daum.net,무교,한국체육대학교,법학,0.09
490,홍성지,여성,153.5,48.7,B형,19640510,010-9144-8446,p0buu4s2,gmail.com,불교,한국방송통신대학교,공학,2.92
491,김희택,남성,178.9,67.1,O형,19490615,010-7117-3938,g92fwwb97yjt,gmail.com,무교,경희대학교,법학,3.98
499,최훈상,여성,158.3,59.9,B형,19850507,010-6455-7906,t4so2ilcn,gmail.com,무교,KAIST,인문,3.9
506,서준서,여성,158.3,60.1,O형,19860911,010-0240-4408,zvm38z9eo,gmail.com,불교,동국대학교,공학,0.57
515,허지석,남성,173.4,64.5,A형,19720608,010-5271-1524,tpeigmo,yahoo.com,무교,추계예술대학교,교육,1.02
517,윤협현,남성,168.1,64.7,A형,19961226,010-2152-7088,nke4e0,daum.net,기독교,광운대학교,의학,2.34
528,신서덕,여성,160.5,53.4,O형,19640421,010-4454-4847,jswf1byeev0o,daum.net,무교,한국체육대학교,자연,4.29
539,지훈종,남성,166.4,64.1,O형,19710609,010-2154-2001,upl1kvrx,gmail.com,무교,성신여자대학교,예체능,3.1
540,이훈은,남성,163.1,66.5,O형,19550310,010-8737-4835,wwvpoqszixg3m,yahoo.com,천주교,서울교육대학교,의학,4.22
543,김은준,여성,157.7,52.6,O형,19460514,010-2218-5419,s93ol56xoft,naver.com,기독교,감리교신학대학교,자연,2.69
548,김택지,남성,168.3,66.6,AB형,19560731,010-9094-6203,x3s0tskmwu1,naver.com,천주교,가톨릭대학교,의학,4.1
549,정훈덕,남성,183.1,63.7,O형,19870804,010-3409-6190,d04y0qdy3r,gmail.com,불교,서울여자대학교,의학,2.92
554,안성현,남성,169.7,65.9,B형,19771119,010-9009-1841,n7788o21q,daum.net,천주교,덕성자대학교,법학,2.68
561,강정준,여성,158.3,55.9,B형,19870517,010-3585-5698,ye96w32e4w,yahoo.com,무교,경기대학교,교육,0.89
570,정진석,남성,165.3,64.1,AB형,19960605,010-2701-5321,b0023wlnnos4,daum.net,기독교,국민대학교,예체능,0.62
572,조택지,남성,176.9,71.8,O형,19790421,010-9305-8398,zhjvu5,yahoo.com,무교,숭실대학교,의학,3.04
573,이용남,남성,167.5,69.6,O형,19510424,010-1009-4836,ug7ne78dr,gmail.com,기독교,서울기독대학교,법학,0.98
574,전종서,남성,167.8,64.4,AB형,19660924,010-7256-9011,n2l83keib,daum.net,불교,가톨릭대학교,공학,4.38
576,강지우,여성,155.0,58.8,O형,19510914,010-1555-8896,t9mgttwttaquz,yahoo.com,불교,동국대학교,예체능,2.36
582,이희영,남성,165.9,61.9,B형,19600918,010-8240-5569,k2kiln544v,gmail.com,무교,가톨릭대학교,공학,0.09
586,민훈은,여성,149.8,56.3,B형,19520908,010-3243-5723,fli9azhup,yahoo.com,무교,장로회신학대학교,공학,3.98
590,안정종,여성,160.3,49.1,B형,19700101,010-2170-8220,lv3esrg,daum.net,무교,서경대학교,예체능,2.36
591,안남택,남성,169.5,66.0,O형,19630317,010-9477-7363,pa2cka4f,naver.com,기독교,경희대학교,의학,0.84
602,유용남,남성,165.2,66.4,A형,19560225,010-4671-5976,mykkii,yahoo.com,기독교,서경대학교,인문,0.95
604,이덕지,여성,154.0,52.9,A형,19631124,010-7024-1734,zf23qb4,naver.com,무교,서울여자대학교,법학,0.74
605,김서남,여성,158.3,51.5,AB형,19710209,010-9050-0471,u6xmuzn7dbr,daum.net,불교,KAIST,예체능,2.16
611,황진준,여성,155.4,63.3,B형,19710811,010-6152-3419,z650wxtd6eu,naver.com,불교,서강대학교,사회,4.02
613,이훈석,여성,161.6,51.9,AB형,19810208,010-9113-0514,shzd58mn,gmail.com,기독교,광운대학교,인문,1.71
615,이현정,남성,169.5,61.7,B형,19720617,010-2018-5184,s40zj8nb,daum.net,무교,한국체육대학교,자연,1.53
616,안은협,남성,175.6,68.6,O형,19861109,010-7126-3513,ikunfrm,daum.net,무교,이화여자대학,법학,2.66
620,김종지,남성,159.7,68.3,O형,19730204,010-5787-3052,r0p84fkxt0zs,yahoo.com,기독교,건국대학교,교육,3.21
622,정덕영,여성,147.8,50.5,A형,19711225,010-7317-9580,oz3f1v9jrva,naver.com,기독교,서울기독대학교,예체능,4.25
626,신희서,여성,149.8,49.5,A형,19790121,010-3069-3978,sq8pq4,yahoo.com,기독교,서울교육대학교,예체능,2.59
632,임덕종,남성,167.1,70.2,O형,19591003,010-6807-0027,ofdmg1qqxht,yahoo.com,불교,홍익대학교,사회,2.62
636,남궁택,여성,150.3,58.3,B형,19470903,010-5097-1319,pwftryidqu,gmail.com,무교,삼육대학교,법학,0.09
644,최현덕,여성,155.3,55.4,B형,19480419,010-4209-9624,ti36sc,gmail.com,불교,성균관대학교,공학,1.7
651,류남지,여성,155.6,44.9,B형,19841116,010-1013-7065,z2o2o9kfzd,naver.com,기독교,한국성서대학교,사회,0.3
655,구지택,남성,170.2,64.0,B형,19680505,010-1469-0001,xreflaasf7b,naver.com,불교,삼육대학교,사회,2.35
669,조지석,남성,165.8,69.1,B형,19540514,010-4066-8228,y7u6ilo57,naver.com,무교,성균관대학교,자연,1.15
671,신지용,여성,158.6,54.3,AB형,19850916,010-4384-1177,nbhmao8q,naver.com,기독교,성신여자대학교,교육,0.09
672,이준현,여성,147.4,57.2,O형,19940102,010-7295-4254,qpik0p290ph,daum.net,불교,서울기독대학교,인문,1.16
675,우준현,여성,156.6,59.2,A형,19841022,010-8985-3401,yv8qo153h,naver.com,무교,명지대학교,공학,0.21
683,황상정,남성,161.4,72.7,AB형,19721220,010-4562-5549,cl5ya9bo7f,naver.com,불교,한양대학교,의학,3.42
684,정영종,여성,159.6,56.4,A형,19660910,010-4049-9295,mj18yq8v1,naver.com,기독교,서울시립대학교,예체능,3.02
685,조택서,남성,174.1,61.4,B형,19900602,010-1835-3329,s4rehlkhba,yahoo.com,무교,숭실대학교,법학,3.69
692,채지훈,여성,146.5,55.3,AB형,19830703,010-3714-0629,q47rm0,daum.net,무교,총신대학교,인문,2.31
693,안상지,여성,150.1,53.6,A형,19691013,010-4746-7144,dawtzuv28w4h,naver.com,무교,추계예술대학교,자연,3.35
694,최지상,남성,169.6,66.9,O형,19640113,010-1012-4412,zbo4c5ez,yahoo.com,불교,숭실대학교,인문,2.25
697,편종훈,여성,157.1,56.3,AB형,19720715,010-5646-7548,bazockjn,gmail.com,무교,감리교신학대학교,의학,0.61
700,문협훈,여성,152.2,48.1,O형,19930829,010-0486-2925,q0fcejxhnoo,yahoo.com,천주교,가톨릭대학교,사회,3.51
705,이정종,남성,167.4,66.7,B형,19841026,010-5869-3416,ejin2283cj,naver.com,기독교,그리스도대학교,공학,0.22
706,김서종,남성,166.9,70.4,A형,19850702,010-4268-7973,ixtkg01cwpw4s,daum.net,무교,국민대학교,의학,0.04
708,남상희,여성,157.2,59.0,AB형,19680425,010-0528-0004,f23r9qau08sy,yahoo.com,천주교,총신대학교,공학,1.32
711,고우서,남성,160.8,73.7,O형,19561219,010-0999-5863,gaqmhnpcrjji,naver.com,불교,동덕여자대학교,사회,2.52
712,이남석,여성,157.2,56.1,B형,19740115,010-2173-8376,acoelmexfy4,daum.net,불교,동덕여자대학교,사회,2.79
713,곽우준,남성,170.4,70.3,A형,19890706,010-8160-1677,yypp6d,daum.net,무교,고려대학교,공학,2.83
715,김협진,여성,154.7,49.5,B형,19930317,010-2474-1708,xaqy1dozk1u0,gmail.com,기독교,삼육대학교,예체능,1.47
723,하훈준,여성,153.3,55.5,O형,19950108,010-3611-2408,r0mcr64jzlry,naver.com,무교,경기대학교,자연,0.35
729,박협훈,여성,152.5,44.9,O형,19960302,010-1543-5298,j59244ip,naver.com,불교,서울여자대학교,예체능,0.75
731,강은상,남성,166.8,56.5,B형,19480521,010-6705-1465,cloyf70cq4,daum.net,불교,덕성자대학교,인문,0.78
737,박훈용,여성,154.6,63.4,O형,19550520,010-9554-6320,bzzdp6ehqh7,gmail.com,불교,이화여자대학,공학,2.45
741,원은석,남성,164.7,67.4,A형,19590628,010-1349-8510,wlsoubsyv,gmail.com,불교,가톨릭대학교,예체능,0.49
744,이준종,남성,168.4,70.9,B형,19570216,010-0767-3176,jrcbytvhp,yahoo.com,불교,경기대학교,교육,0.68
747,최상용,여성,155.2,63.2,A형,19951225,010-5706-2583,tsfqyi4,naver.com,무교,서울여자대학교,예체능,0.6
750,박훈성,남성,172.6,70.5,A형,19671217,010-2678-0200,r0jo132g8,daum.net,기독교,경기대학교,사회,0.13
757,박훈택,남성,171.7,64.7,A형,19821218,010-7337-7435,pbu3u0n,yahoo.com,기독교,한양대학교,사회,3.62
759,장정준,남성,176.6,72.0,O형,19811017,010-5030-6072,utmlib,daum.net,무교,국민대학교,사회,2.57
761,이영훈,여성,157.5,51.6,B형,19551203,010-8801-0276,htrptap08jrl,yahoo.com,불교,광운대학교,공학,0.68
762,김훈은,여성,150.7,57.4,A형,19690226,010-1895-7645,kybgke,yahoo.com,기독교,가톨릭대학교,자연,3.27
769,성지은,남성,168.6,70.2,O형,19690201,010-0189-1321,qyptof,naver.com,기독교,추계예술대학교,자연,0.48
772,오희훈,남성,169.1,68.7,A형,19851022,010-3590-6802,xavy5qz,gmail.com,무교,세종대학교,예체능,2.92
773,김훈협,여성,155.8,54.5,A형,19780819,010-9033-1246,bdd633fdn74z,daum.net,무교,동덕여자대학교,인문,2.09
774,박덕영,남성,164.9,65.7,O형,19820718,010-6574-0284,xfe3wtag04g,gmail.com,무교,가톨릭대학교,의학,3.51
776,윤서석,남성,170.6,62.1,B형,19870208,010-6537-2429,c22xepgyb,yahoo.com,불교,성공회대학교,의학,2.29
777,임정훈,남성,174.6,68.5,A형,19560520,010-7109-6196,nulgeaoxqvfip,gmail.com,무교,서울여자대학교,의학,0.46
780,고덕종,여성,149.5,50.5,B형,19870220,010-3547-5257,lolheh8he9,yahoo.com,불교,성신여자대학교,의학,2.1
785,임서훈,여성,150.4,53.3,B형,19671124,010-2183-3022,x21aia,naver.com,무교,숙명여자대학교,공학,4.37
788,최정은,여성,147.3,45.0,O형,19840119,010-3964-1598,hulihokir,daum.net,불교,총신대학교,의학,3.95
792,한남택,여성,161.9,52.3,O형,19590703,010-8694-9179,j27zgp,naver.com,기독교,동덕여자대학교,인문,1.22
799,임서현,남성,164.1,64.3,B형,19670701,010-1987-8405,ahx0b8oxz4mw,yahoo.com,불교,성신여자대학교,인문,3.24
801,최준서,여성,153.5,59.8,A형,19480209,010-1640-4634,suqhh6r0hb92q,yahoo.com,기독교,성균관대학교,자연,4.14
802,안훈진,남성,169.9,61.2,A형,19550419,010-9348-2202,kdszveochmrsd,yahoo.com,불교,상명대학교,사회,2.37
804,유은준,남성,173.9,66.8,AB형,19521018,010-8735-6072,w5a8lzvl3,daum.net,무교,KAIST,교육,1.43
807,황석남,남성,171.3,63.1,AB형,19960624,010-8142-7852,wz46acww,gmail.com,무교,추계예술대학교,사회,4.34
818,소영상,남성,158.8,67.2,O형,19561120,010-8826-4423,dteu7jq7yryj,naver.com,기독교,광운대학교,자연,0.02
819,백남훈,남성,166.4,67.1,B형,19640406,010-0255-6183,x8u6uy,naver.com,기독교,동덕여자대학교,자연,0.36
828,조정상,남성,165.9,70.4,B형,19791230,010-0817-0684,fz4er34iezoe,yahoo.com,무교,한국체육대학교,교육,3.04
829,김지준,여성,158.6,61.0,O형,19850812,010-6848-7048,aputogh9apz4,gmail.com,기독교,서울시립대학교,예체능,1.61
838,강영상,남성,165.6,64.4,A형,19571114,010-5037-6108,dqf4fz,yahoo.com,불교,한국방송통신대학교,교육,3.17
840,전용준,여성,147.9,56.2,AB형,19840922,010-5554-9142,hcectzq221cv,yahoo.com,무교,고려대학교,교육,4.01
843,백준성,남성,169.0,68.0,AB형,19831104,010-8079-0509,ea443hn,yahoo.com,불교,명지대학교,인문,1.04
849,박택진,여성,158.9,61.3,B형,19751113,010-2466-9464,r90lx37qyyw5l,gmail.com,기독교,서울여자대학교,인문,4.5
858,정훈지,남성,168.4,70.8,A형,19790913,010-8244-7076,whm0wylbea,daum.net,무교,육군사관학교,인문,1.89
863,이상용,여성,153.4,53.7,O형,19831106,010-9704-2149,kq76ca,naver.com,기독교,국민대학교,법학,2.86
864,양희상,남성,167.6,63.8,B형,19901109,010-8366-7140,aws4bbj36mtaw,daum.net,불교,성균관대학교,인문,3.52
865,이석영,여성,150.1,52.2,A형,19870909,010-1024-6294,i6gyma,daum.net,무교,덕성자대학교,인문,2.94
870,진영용,여성,160.7,52.7,B형,19850519,010-8847-9828,dejky4qret,naver.com,불교,성균관대학교,의학,3.59
875,박남우,여성,151.7,59.4,B형,19950115,010-5256-0451,n4imhqt370sd,yahoo.com,무교,장로회신학대학교,인문,2.87
878,조지성,여성,166.1,58.0,B형,19920817,010-2658-2454,bqexh1,gmail.com,불교,서울과학기술대학교,공학,4.13
882,정훈택,여성,158.9,51.5,A형,19591029,010-3032-4142,j5pxezd895q,yahoo.com,무교,서울과학기술대학교,법학,2.43
886,박훈정,남성,165.8,64.4,O형,19890817,010-6291-8084,nmz3wge7g1x7,yahoo.com,불교,건국대학교,자연,2.9
901,김지영,남성,174.6,64.3,B형,19910422,010-5665-4447,cx3cnwijhrn,gmail.com,무교,삼육대학교,사회,1.7
