No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
33453,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1955****,*************,*************,yahoo.com,무교,134.80.26.156,b4:8f:1b:25:73:69
34325,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1955****,*************,*************,daum.net,기독교,21.251.96.151,1f:6c:b6:73:7e:35
8705,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",O형,1957****,*************,*************,daum.net,불교,67.27.249.88,88:93:bd:37:b6:e0
11338,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",A형,1957****,*************,*************,yahoo.com,불교,212.79.66.164,26:a9:f7:72:21:a1
28997,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",A형,1957****,*************,*************,yahoo.com,불교,203.167.38.118,97:78:44:97:53:89
21784,최**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1957****,*************,*************,gmail.com,무교,208.27.242.91,cd:c8:02:71:fb:28
30228,최**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1957****,*************,*************,naver.com,무교,87.61.210.181,bf:c3:2f:42:63:9f
35555,최**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1957****,*************,*************,gmail.com,불교,49.5.175.81,55:0b:bd:d5:36:da
18610,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1959****,*************,*************,daum.net,무교,61.123.83.28,e0:53:c6:9e:52:cc
19526,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1959****,*************,*************,naver.com,무교,10.138.214.209,0c:e7:60:c9:2d:52
29399,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1959****,*************,*************,yahoo.com,무교,138.197.191.5,23:6d:66:a1:19:f3
19359,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1960****,*************,*************,yahoo.com,무교,194.242.191.48,92:3c:8d:94:1d:a9
30698,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1960****,*************,*************,gmail.com,불교,183.91.7.251,49:2d:f4:27:57:9b
32325,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1960****,*************,*************,gmail.com,기독교,62.42.102.211,85:d8:f4:70:fc:23
34633,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1960****,*************,*************,naver.com,불교,210.156.63.242,d0:97:23:86:35:f8
583,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1965****,*************,*************,daum.net,불교,128.104.76.182,a5:32:fc:8a:62:ca
28309,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1965****,*************,*************,daum.net,불교,147.252.180.216,31:ee:9f:98:3d:77
37676,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1965****,*************,*************,gmail.com,불교,95.161.16.68,53:9d:64:9c:d5:24
1961,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1965****,*************,*************,daum.net,불교,233.57.53.246,ba:c3:fa:70:64:c4
2985,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1965****,*************,*************,gmail.com,무교,245.6.95.26,81:3d:dd:02:df:30
11872,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1965****,*************,*************,yahoo.com,무교,240.56.187.161,af:63:3d:80:a7:df
1007,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1967****,*************,*************,yahoo.com,무교,73.118.155.171,ab:03:24:25:97:2a
1977,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1967****,*************,*************,yahoo.com,무교,88.202.12.81,f3:cd:9c:6c:ba:d6
20763,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1967****,*************,*************,naver.com,불교,8.35.56.121,a8:ef:04:83:3b:7b
35310,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1967****,*************,*************,gmail.com,불교,31.231.166.189,29:3f:a9:32:42:ad
18116,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1971****,*************,*************,yahoo.com,불교,198.84.59.237,34:8e:cd:d5:bf:d0
29717,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1971****,*************,*************,gmail.com,무교,23.51.193.158,49:e5:cd:62:5f:aa
33671,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1971****,*************,*************,naver.com,무교,149.160.129.241,2f:16:8b:27:fa:7d
19033,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1972****,*************,*************,daum.net,불교,44.217.171.24,8a:0f:58:8c:df:18
32611,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1972****,*************,*************,yahoo.com,기독교,227.230.185.185,cf:f6:7e:88:8b:70
36987,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1972****,*************,*************,naver.com,무교,46.8.217.38,64:ce:62:15:70:bb
8775,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1975****,*************,*************,gmail.com,무교,58.116.29.235,93:e3:0c:af:68:57
31138,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1975****,*************,*************,naver.com,무교,133.237.253.218,2e:07:1c:74:0a:a2
33950,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1975****,*************,*************,yahoo.com,불교,49.6.187.156,3c:82:aa:15:5a:0a
20409,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1978****,*************,*************,daum.net,기독교,246.65.46.1,69:0d:3f:fa:7f:f9
33643,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1978****,*************,*************,yahoo.com,무교,57.22.124.68,fa:40:eb:a2:52:a9
35002,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1978****,*************,*************,daum.net,무교,89.12.151.81,85:c9:6e:25:15:30
9299,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1983****,*************,*************,naver.com,무교,242.161.167.206,91:7b:28:24:9f:fc
21663,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1983****,*************,*************,yahoo.com,무교,135.22.92.79,7e:a6:4b:41:57:85
38707,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1983****,*************,*************,yahoo.com,불교,12.160.83.39,7e:80:af:bb:e3:aa
3692,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1985****,*************,*************,yahoo.com,기독교,47.58.36.196,1b:16:d4:51:91:79
10986,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1985****,*************,*************,naver.com,무교,145.70.117.26,6a:74:74:ff:64:a6
18421,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1985****,*************,*************,naver.com,천주교,67.55.169.92,10:dc:e0:df:15:33
19931,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1985****,*************,*************,gmail.com,무교,240.79.246.118,2e:37:14:0c:14:88
793,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1985****,*************,*************,gmail.com,기독교,223.103.145.77,a1:3a:06:04:62:39
2205,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1985****,*************,*************,naver.com,불교,254.8.213.172,61:5d:42:43:29:e5
10855,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1985****,*************,*************,gmail.com,불교,233.165.40.71,3d:80:75:f9:50:6d
2968,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1987****,*************,*************,gmail.com,불교,70.45.194.75,f8:ef:19:af:bc:93
5421,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1987****,*************,*************,gmail.com,무교,52.20.152.201,9b:38:9e:7f:b7:1e
19477,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1987****,*************,*************,naver.com,기독교,172.67.90.77,c9:a8:3e:1e:29:31
3786,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1993****,*************,*************,gmail.com,기독교,200.206.241.65,01:e5:30:08:89:f1
17508,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1993****,*************,*************,gmail.com,기독교,95.54.161.93,43:13:f9:01:63:63
19644,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1993****,*************,*************,gmail.com,기독교,169.95.9.166,39:da:3d:f6:46:ca
1550,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,기독교,151.87.191.69,73:fa:de:4d:30:42
2873,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,53.109.11.232,c5:70:84:34:93:cb
3517,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,124.84.76.196,a1:db:9d:f2:9e:3b
4827,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,무교,141.238.52.156,31:39:cd:6f:6a:30
9204,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,불교,123.53.221.124,de:aa:30:8f:1b:9d
12315,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,70.235.217.80,14:a2:30:6f:73:0c
15004,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,144.62.51.114,fe:95:21:f3:d1:52
17362,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,기독교,130.207.198.214,2d:c1:cd:e3:d3:ef
17735,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,불교,183.84.115.229,75:18:58:fe:cc:6f
19957,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,무교,122.252.176.63,f2:c3:47:1a:fa:45
22480,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,무교,86.179.236.68,05:93:92:10:39:fa
23384,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,기독교,57.152.114.220,c4:3d:52:f5:5b:70
24297,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,yahoo.com,무교,251.23.221.73,1d:a6:3b:0b:f2:de
28047,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,천주교,45.118.82.245,e2:85:54:79:6c:30
29352,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,daum.net,기독교,43.57.190.210,b7:d9:da:08:4f:bb
29747,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,기독교,233.189.51.156,e6:3b:0b:70:62:01
35696,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,무교,242.173.200.100,c2:25:32:bf:a4:b1
6697,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,무교,121.9.223.205,97:eb:aa:dd:b1:57
11494,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,naver.com,천주교,147.84.222.219,cc:c8:1d:13:2d:09
31777,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,213.146.4.34,ef:6a:4a:af:94:ce
8108,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,기독교,131.244.82.30,ed:cd:ac:42:93:0a
28627,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,228.145.31.117,5c:1f:2b:09:08:62
28867,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,불교,48.180.213.39,72:fc:4d:43:87:b9
34642,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,197.167.125.211,7a:7c:b4:24:34:c5
35291,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,49.216.127.150,b2:f1:2d:06:55:f8
37967,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,불교,139.93.201.54,aa:d7:47:0f:8c:18
39360,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,불교,224.204.244.177,65:9f:22:24:ee:f6
15792,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,무교,128.180.204.160,76:77:7f:22:0b:b2
16022,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,불교,227.140.46.126,4a:b1:a5:a5:79:db
23963,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,무교,86.37.54.86,50:bd:a7:16:18:c0
2515,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,무교,93.255.27.26,65:05:c8:05:06:d0
4292,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,불교,193.110.38.140,b1:b2:f3:6c:74:07
5517,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,기독교,73.216.185.64,85:1b:28:03:1f:20
6982,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,무교,165.45.37.159,45:58:d4:f2:af:f2
7404,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,불교,223.154.128.116,7a:e2:44:4a:c0:7e
9371,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,247.173.66.155,9c:68:5c:56:00:52
17992,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,불교,175.35.208.227,1c:63:fa:93:e5:a5
20373,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,기독교,160.47.173.250,6f:8a:ac:1d:fa:ba
20600,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,불교,82.113.35.88,f3:71:3c:ec:04:ae
27308,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,불교,146.116.26.74,6f:9c:37:e9:fc:59
34010,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,불교,33.245.46.93,8f:8a:1d:f6:aa:f3
38897,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,무교,38.233.176.86,40:5d:d7:b1:74:9f
39317,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,13.17.153.223,e1:75:40:e7:4d:23
22901,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,불교,241.96.131.189,de:32:9c:a2:84:26
37291,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,기독교,23.154.162.224,21:4e:c2:0a:cc:4e
38597,김**,남성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,217.67.119.61,69:62:18:c5:b5:1a
12737,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,195.21.181.192,4f:8d:e6:0d:07:96
19179,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,무교,30.244.222.46,c9:e3:fd:00:6d:fe
39530,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,기독교,38.182.131.243,3f:47:78:ae:47:1b
5804,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,불교,153.191.115.72,2f:f7:a2:9a:18:ee
7600,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,불교,159.201.226.30,49:b9:54:aa:0d:6c
9836,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,무교,167.243.69.52,ac:0e:e2:29:eb:90
16804,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,무교,132.199.98.231,0d:39:e4:f6:ba:6e
19389,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,기독교,188.33.53.230,83:a2:d8:28:45:be
25252,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,불교,247.245.206.106,28:11:52:02:7c:84
27453,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,gmail.com,무교,15.62.242.85,48:3b:a9:92:ff:ac
28198,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,불교,4.124.5.35,5b:2c:3e:5c:cc:ed
2535,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,daum.net,기독교,31.169.167.49,94:00:a4:98:d3:27
10239,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,기독교,8.244.253.73,d4:fb:bc:09:88:d8
13284,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,무교,141.83.108.254,d8:8c:85:90:26:1e
18506,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,무교,70.241.109.117,4c:f2:69:35:a7:30
26386,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,기독교,200.150.148.206,49:fd:32:c3:c2:d5
30814,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,gmail.com,불교,87.3.28.157,79:28:f3:5f:f7:fa
33640,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,기독교,69.112.209.30,f9:c9:3f:c5:2e:4c
25034,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,불교,141.216.188.19,d2:cc:cc:5d:f1:5b
30319,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,175.142.232.200,89:ca:1f:df:43:bd
38719,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,무교,63.3.114.17,e1:df:41:66:59:94
288,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,기독교,48.228.184.106,e1:3f:13:f2:a9:0b
568,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,242.113.28.125,50:48:d6:7b:51:e2
5151,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,기독교,25.94.84.132,c5:16:c8:a4:8c:6a
9394,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,불교,8.241.67.136,f5:49:c4:f3:45:a4
9788,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,기독교,138.215.62.253,63:3f:79:3d:cc:88
10199,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,무교,92.249.30.91,82:ba:c5:c3:b1:5c
15354,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,무교,66.23.125.150,ac:6a:60:c7:69:a0
18006,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,기독교,119.224.27.175,84:a2:c1:5e:1a:ab
20847,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,yahoo.com,무교,155.55.97.239,85:1b:c2:2c:51:05
23834,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,기독교,192.186.7.193,46:ca:dd:4b:df:a1
24308,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,기독교,227.208.221.28,6b:63:cc:31:dd:08
26458,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,무교,68.81.12.155,25:8c:44:21:1d:02
28427,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,천주교,242.216.52.226,e1:73:6a:40:45:b9
27775,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,255.7.245.128,7a:dd:8d:5b:f7:37
31353,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,불교,151.14.250.61,6b:46:3d:df:86:18
37919,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,yahoo.com,무교,7.159.194.7,74:ca:11:08:7e:c4
38988,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,기독교,166.160.205.39,f1:6e:31:07:85:bb
5777,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,기독교,34.229.121.157,72:50:6c:3c:3b:dd
13398,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,기독교,157.122.17.189,6c:2f:d5:17:ad:d4
23365,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,불교,145.108.251.181,78:0e:f7:b6:e8:e7
27451,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,gmail.com,무교,234.138.147.253,97:5a:81:e3:cf:20
27510,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,무교,183.207.255.244,02:89:4f:34:3f:d1
5476,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,255.252.91.23,f5:93:36:ad:72:59
15697,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,천주교,210.29.252.108,aa:fd:45:a0:eb:c4
34761,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,기독교,237.208.177.202,50:65:b6:42:51:bd
3778,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,170.161.116.132,7a:d2:f0:23:09:c9
27063,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,무교,239.113.159.80,aa:89:98:b4:72:36
27473,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,천주교,166.3.5.41,6a:22:46:24:e3:7f
387,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,무교,189.191.200.222,47:a3:9d:1c:fc:e4
3878,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,yahoo.com,기독교,17.215.238.172,44:6a:c8:78:a8:c0
15530,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,무교,98.156.202.219,79:db:3c:c7:10:5c
25756,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,천주교,161.117.173.177,4e:72:1f:df:1a:bf
25787,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,naver.com,기독교,137.22.108.228,c8:55:ee:8a:2c:c7
30365,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,기독교,204.151.146.93,d4:aa:d4:d4:61:ae
32038,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,기독교,83.202.98.71,9c:da:9b:3e:cd:44
35691,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,naver.com,불교,82.138.111.255,ef:0d:3e:0d:58:43
33463,전**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,yahoo.com,무교,86.219.15.43,20:dc:f4:1e:af:f8
33767,전**,남성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,무교,219.31.22.18,7e:99:50:f7:b3:42
34201,전**,남성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,천주교,100.57.7.159,9a:5e:79:2a:b3:58
1260,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,불교,99.32.174.223,f2:5b:37:79:a4:7c
10586,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,천주교,211.105.117.179,1f:b0:88:9e:9f:df
32461,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,불교,21.247.53.23,e6:41:2f:cd:43:9f
801,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,기독교,27.248.45.4,17:2b:b7:f4:b9:68
8631,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,천주교,33.163.58.187,fc:4b:8d:63:69:4b
23566,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,119.53.143.135,82:29:86:17:04:27
