이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,yahoo.com,기독교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,불교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,불교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,천주교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,천주교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,기독교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,기독교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,천주교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,무교
박**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,기독교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,천주교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,gmail.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,불교
박**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,무교
서**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,무교
서**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
서**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
서**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
서**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,불교
양**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
양**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
양**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
윤**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,천주교
윤**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,기독교
윤**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
이**,여성,"[140.0, 150.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,무교
이**,여성,"[140.0, 150.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,기독교
이**,여성,"[140.0, 150.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,daum.net,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,천주교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,naver.com,기독교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,천주교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,yahoo.com,천주교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,daum.net,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,yahoo.com,천주교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,불교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,gmail.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,daum.net,불교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,daum.net,무교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,불교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,불교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,불교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,yahoo.com,불교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,무교
전**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
전**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,기독교
전**,여성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,gmail.com,기독교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,무교
정**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,무교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,천주교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,불교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,gmail.com,무교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,yahoo.com,무교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,yahoo.com,무교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
조**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,불교
조**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,무교
조**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,daum.net,불교
조**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,기독교
최**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,gmail.com,기독교
최**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,무교
최**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,기독교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,gmail.com,불교
한**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,gmail.com,무교
한**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,불교
한**,남성,"[170.0, 180.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,gmail.com,불교
구**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,불교
구**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
구**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,gmail.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,gmail.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,천주교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,천주교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,천주교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,기독교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,기독교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,gmail.com,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,불교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,불교
김**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
김**,여성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,기독교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,기독교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,yahoo.com,천주교
박**,남성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,불교
박**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,불교
박**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
박**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,불교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,기독교
박**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,불교
박**,여성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,무교
유**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,기독교
유**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
유**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,불교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,불교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,불교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,daum.net,불교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,기독교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,무교
이**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
이**,남성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,기독교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,gmail.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,기독교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,불교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,기독교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,naver.com,무교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,천주교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,무교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,무교
이**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
이**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,기독교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,gmail.com,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,불교
이**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
임**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,천주교
임**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,naver.com,불교
임**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,무교
임**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
임**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,gmail.com,기독교
임**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,기독교
전**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,천주교
전**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,불교
전**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,기독교
전**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,기독교
정**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,gmail.com,무교
정**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,불교
정**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
정**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,무교
정**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,daum.net,기독교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,천주교
정**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,gmail.com,불교
정**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,yahoo.com,무교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,기독교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,gmail.com,기독교
정**,남성,"[170.0, 180.0[","[41.2, 84.3[",AB형,1947-*****,*********,*************,naver.com,불교
조**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,불교
조**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,불교
조**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1947-*****,*********,*************,daum.net,무교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,daum.net,무교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,gmail.com,천주교
최**,남성,"[170.0, 180.0[","[41.2, 84.3[",B형,1947-*****,*********,*************,yahoo.com,무교
한**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,yahoo.com,기독교
한**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
한**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1947-*****,*********,*************,naver.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,gmail.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,gmail.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,yahoo.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1948-*****,*********,*************,gmail.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1948-*****,*********,*************,naver.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,gmail.com,기독교
김**,남성,"[150.0, 160.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,daum.net,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1948-*****,*********,*************,gmail.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1948-*****,*********,*************,daum.net,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,yahoo.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,naver.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,yahoo.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,gmail.com,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,yahoo.com,천주교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,naver.com,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",A형,1948-*****,*********,*************,yahoo.com,불교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",B형,1948-*****,*********,*************,gmail.com,불교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1948-*****,*********,*************,yahoo.com,불교
